FID,OBJECTID,KEY_ID,VALUE,TYPE,FEATURECOD,FEATUREGUI,EPSCREATET,EPSMODIFYT,PROJECTID,MAPSCALE,SECURITY,UPDATEREGI,UPDATETIME,YEWBH,YEWID,DESCRIPTIO,X,Y
58,278896,232249,7.400000000000000,0,839100,{17F3172B-7B1F-4A0D-BF9D-1D03DDB4D718},2010/4/7 0:00:00,2012/7/12 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35460.445005000001402,-15954.726414299999306
59,278897,232251,7.300000000000000,0,839100,{89E8F8AF-417C-4523-A4EB-ECC9BBB8E57A},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35422.188999999998487,-15866.443999999999505
60,279017,232417,5.070000000000000,0,839100,{EFE4B4CC-E803-4AE3-B97A-8EEA734DB4D8},2010/4/7 0:00:00,2012/9/5 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33537.517498399996839,-17596.009113799998886
61,279018,232418,4.940000000000000,0,839100,{C897C6BE-F8D0-4797-87D0-9F2BAAC75AC1},2010/4/7 0:00:00,2012/9/5 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33469.841673199996876,-17431.441254900000786
62,279019,232422,5.090000000000000,0,839100,{584F6A92-A5F9-468A-96F6-932F982FBBF7},2010/4/7 0:00:00,2012/9/5 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33369.913999999997031,-17196.181000000000495
63,279020,232424,4.480000000000000,0,839100,{5FC8570B-4729-4C64-8123-257416522949},2010/4/7 0:00:00,2012/4/21 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33315.040000000000873,-17071.516999999999825
64,279021,232425,5.560000000000000,0,839100,{61EDEBC2-65E5-49EA-BDBE-986946D1991D},2010/4/7 0:00:00,2012/9/5 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33282.451000000000931,-17010.415000000000873
65,279025,232503,4.900000000000000,0,839100,{245D41CF-E1E8-4DCB-B268-015B6714F56C},2010/4/7 0:00:00,2012/7/5 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34318.591881699998339,-17635.152636899998470
66,279035,231041,7.400000000000000,0,839100,{7C287FB6-C59E-41AD-B497-C119312475F5},2010/4/7 0:00:00,2012/8/20 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35419.184000000001106,-16674.098000000001775
67,279036,231042,7.400000000000000,0,839100,{5AA9A2BC-97F0-4054-9C4F-F0EDA7951930},2010/4/7 0:00:00,2012/8/20 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35465.254999999997381,-16773.971000000001368
